[INFO ] 2016-12-27 12:42:47,521 [repositories/SYSTEM] transaction started
[INFO ] 2016-12-27 12:42:47,525 [repositories/SYSTEM] PUT txn get/export statements request
[INFO ] 2016-12-27 12:42:47,526 [repositories/SYSTEM] PUT txn get/export statements request finished
[INFO ] 2016-12-27 12:42:47,531 [repositories/SYSTEM] PUT txn operation
[INFO ] 2016-12-27 12:42:47,533 [repositories/SYSTEM] PUT txn operation request finished.
[INFO ] 2016-12-27 12:42:47,536 [repositories/SYSTEM] PUT txn operation
[INFO ] 2016-12-27 12:42:47,549 [repositories/SYSTEM] PUT txn operation request finished.
[INFO ] 2016-12-27 12:42:47,562 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:42:47,568 [http-nio-8080-exec-4] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:42:47,898 [repositories/internal] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:42:47,935 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:42:51,758 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:43:00,708 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:43:09,828 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:43:09,861 [repositories/SYSTEM] POST transaction start
[INFO ] 2016-12-27 12:43:09,862 [repositories/SYSTEM] transaction started
[INFO ] 2016-12-27 12:43:09,867 [repositories/SYSTEM] PUT txn get/export statements request
[INFO ] 2016-12-27 12:43:09,868 [repositories/SYSTEM] PUT txn get/export statements request finished
[INFO ] 2016-12-27 12:43:09,873 [repositories/SYSTEM] PUT txn operation
[INFO ] 2016-12-27 12:43:09,875 [repositories/SYSTEM] PUT txn operation request finished.
[INFO ] 2016-12-27 12:43:09,879 [repositories/SYSTEM] PUT txn operation
[INFO ] 2016-12-27 12:43:09,895 [repositories/SYSTEM] PUT txn operation request finished.
[INFO ] 2016-12-27 12:43:09,913 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:43:09,921 [http-nio-8080-exec-5] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:43:20,452 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 12:43:20,468 [repositories/lifted] Request for query 3392903 is finished
[INFO ] 2016-12-27 12:43:46,902 [localhost-startStop-2] Closing WebApplicationContext for namespace 'rdf4j-http-server-servlet': startup date [Tue Dec 27 12:39:37 UTC 2016]; root of context hierarchy
[INFO ] 2016-12-27 14:00:17,915 [localhost-startStop-1] Logback logging API implementation is configured.
[INFO ] 2016-12-27 14:00:18,099 [localhost-startStop-1] Mapped URL path [/system/info/overview.view] onto handler 'commonWebappSystemInfoController'
[INFO ] 2016-12-27 14:00:18,107 [localhost-startStop-1] Mapped URL path [/system/overview.view] onto handler 'commonWebappSystemOverviewController'
[INFO ] 2016-12-27 14:00:18,108 [localhost-startStop-1] Mapped URL path [/system/info/debug.view] onto handler 'filenameViewController'
[INFO ] 2016-12-27 14:00:18,114 [localhost-startStop-1] Mapped URL path [/system/logging/overview.view] onto handler 'commonWebappLoggingOverviewController'
[INFO ] 2016-12-27 14:00:18,384 [localhost-startStop-1] Mapped URL path [/protocol] onto handler 'rdf4jProtocolController'
[INFO ] 2016-12-27 14:00:18,420 [localhost-startStop-1] Mapped URL path [/repositories] onto handler 'rdf4jRepositoryListController'
[INFO ] 2016-12-27 14:00:18,423 [localhost-startStop-1] Mapped URL path [/repositories/*/namespaces] onto handler 'rdf4jRepositoryNamespacesController'
[INFO ] 2016-12-27 14:00:18,428 [localhost-startStop-1] Mapped URL path [/repositories/*/transactions/*] onto handler 'rdf4jRepositoryTransactionController'
[INFO ] 2016-12-27 14:00:18,441 [localhost-startStop-1] Mapped URL path [/repositories/*/size] onto handler 'rdf4jRepositorySizeController'
[INFO ] 2016-12-27 14:00:18,443 [localhost-startStop-1] Mapped URL path [/repositories/*/transactions] onto handler 'rdf4jRepositoryTransactionStartController'
[INFO ] 2016-12-27 14:00:18,444 [localhost-startStop-1] Mapped URL path [/repositories/*/contexts] onto handler 'rdf4jRepositoryContextsController'
[INFO ] 2016-12-27 14:00:18,450 [localhost-startStop-1] Mapped URL path [/repositories/*] onto handler 'rdf4jRepositoryController'
[INFO ] 2016-12-27 14:00:18,451 [localhost-startStop-1] Mapped URL path [/repositories/*/namespaces/*] onto handler 'rdf4jRepositoryNamespaceController'
[INFO ] 2016-12-27 14:00:18,453 [localhost-startStop-1] Mapped URL path [/repositories/*/statements] onto handler 'rdf4jRepositoryStatementsController'
[INFO ] 2016-12-27 14:00:18,454 [localhost-startStop-1] Mapped URL path [/repositories/*/rdf-graphs/*] onto handler 'rdf4jRepositoryGraphController'
[INFO ] 2016-12-27 14:00:18,455 [localhost-startStop-1] Mapped URL path [/repositories/*/rdf-graphs] onto handler 'rdf4jRepositoryContextsController'
[INFO ] 2016-12-27 14:00:18,457 [localhost-startStop-1] Mapped URL path [/home/overview.view] onto handler 'filenameViewController'
[INFO ] 2016-12-27 14:00:18,457 [localhost-startStop-1] Mapped URL path [/overview.view] onto handler 'filenameViewController'
[INFO ] 2016-12-27 14:00:18,496 [localhost-startStop-1] FrameworkServlet 'rdf4j-http-server': initialization completed in 934 ms
[INFO ] 2016-12-27 14:00:50,583 [repositories/SYSTEM] GET statements
[INFO ] 2016-12-27 14:00:51,173 [http-nio-8080-exec-5] Request for query 3392903 is finished
[INFO ] 2016-12-27 14:01:05,640 [repositories/internal] POST query 1554381741
[INFO ] 2016-12-27 14:01:05,836 [repositories/internal] Request for query 1554381741 is finished
[INFO ] 2016-12-27 14:03:11,278 [localhost-startStop-2] Closing WebApplicationContext for namespace 'rdf4j-http-server-servlet': startup date [Tue Dec 27 14:00:17 UTC 2016]; root of context hierarchy
